idx,val14
1,2667
2,2694
3,2706
4,2714
5,2725
6,2734
7,2745
8,2755
9,2765
10,2776
11,2786
12,2795
13,2804
14,2815
15,2825
16,2835
17,2845
18,2853
19,2864
20,2876
21,2883
22,2894
23,2904
24,2913
25,2923
26,2933
27,2942
28,2951
29,2963
30,2971
31,2981
32,2991
33,3001
34,3010
35,3021
36,3029
37,3040
38,3051
39,3058
40,3067
41,3077
42,3087
43,3097
44,3109
45,3117
46,3125
47,3138
48,3144
49,3154
50,3163
51,3172
52,3182
53,3191
54,3201
55,3209
56,3218
57,3227
58,3237
59,3246
60,3255
61,3264
62,3277
63,3284
64,3292
65,3302
66,3310
67,3319
68,3330
69,3338
70,3347
71,3354
72,3365
73,3376
74,3381
75,3391
76,3401
77,3409
78,3417
79,3427
80,3436
81,3445
82,3449
83,3461
84,3470
85,3478
86,3486
87,3495
88,3504
89,3515
90,3520
91,3531
92,3539
93,3546
94,3554
95,3563
96,3572
97,3580
98,3592
99,3597
100,3605
101,3614
102,3622
103,3630
104,3638
105,3647
106,3654
107,3666
108,3674
109,3679
110,3688
111,3696
112,3704
113,3712
114,3720
115,3729
116,3739
117,3743
118,3752
119,3760
120,3767
121,3775
122,3781
123,3789
124,3800
125,3807
126,3814
127,3821
128,3829
129,3837
130,3844
131,3854
132,3862
133,3866
134,3876
135,3886
136,3890
137,3899
138,3905
139,3913
140,3919
141,3928
142,3938
143,3944
144,3949
145,3957
146,3964
147,3971
148,3978
149,3987
150,3992
151,4003
152,4009
153,4015
154,4021
155,4028
156,4034
157,4042
158,4047
159,4057
160,4064
161,4067
162,4075
163,4082
164,4089
165,4095
166,4099
167,4110
168,4118
169,4120
170,4128
171,4135
172,4142
173,4148
174,4155
175,4160
176,4168
177,4178
178,4178
179,4186
180,4193
181,4200
182,4206
183,4211
184,4220
185,4227
186,4228
187,4238
188,4243
189,4249
190,4254
191,4261
192,4267
193,4276
194,4275
195,4284
196,4293
197,4296
198,4302
199,4307
200,4313
201,4320
202,4329
203,4332
204,4335
205,4341
206,4347
207,4353
208,4359
209,4369
210,4373
211,4375
212,4382
213,4388
214,4391
215,4397
216,4402
217,4407
218,4417
219,4420
220,4421
221,4430
222,4436
223,4437
224,4444
225,4449
226,4453
227,4457
228,4463
229,4472
230,4475
231,4476
232,4482
233,4487
234,4492
235,4496
236,4500
237,4511
238,4512
239,4514
240,4520
241,4524
242,4528
243,4533
244,4541
245,4540
246,4546
247,4554
248,4556
249,4560
250,4564
251,4567
252,4571
253,4579
254,4583
255,4584
256,4589
257,4595
258,4596
259,4600
260,4605
261,4609
262,4617
263,4617
264,4625
265,4626
266,4626
267,4632
268,4636
269,4639
270,4643
271,4652
272,4649
273,4653
274,4660
275,4661
276,4663
277,4667
278,4670
279,4680
280,4680
281,4678
282,4685
283,4690
284,4690
285,4693
286,4695
287,4698
288,4701
289,4709
290,4707
291,4710
292,4714
293,4717
294,4720
295,4722
296,4726
297,4731
298,4734
299,4731
300,4736
301,4742
302,4741
303,4744
304,4746
305,4748
306,4751
307,4757
308,4753
309,4757
310,4764
311,4765
312,4765
313,4767
314,4769
315,4771
316,4773
317,4774
318,4781
319,4779
320,4780
321,4784
322,4786
323,4788
324,4788
325,4790
326,4790
327,4795
328,4800
329,4799
330,4798
331,4803
332,4803
333,4804
334,4806
335,4807
336,4808
337,4815
338,4812
339,4811
340,4817
341,4815
342,4817
343,4817
344,4818
345,4822
346,4824
347,4821
348,4823
349,4827
350,4825
351,4826
352,4827
353,4828
354,4829
355,4832
356,4829
357,4829
358,4832
359,4832
360,4833
361,4833
362,4832
363,4837
364,4835
365,4832
366,4836
367,4836
368,4836
369,4836
370,4836
371,4838
372,4841
373,4838
374,4836
375,4838
376,4838
377,4838
378,4838
379,4843
380,4836
381,4838
382,4842
383,4836
384,4838
385,4837
386,4837
387,4837
388,4842
389,4839
390,4834
391,4837
392,4837
393,4836
394,4834
395,4833
396,4833
397,4832
398,4835
399,4832
400,4828
401,4830
402,4832
403,4828
404,4827
405,4826
406,4824
407,4830
408,4824
409,4821
410,4822
411,4819
412,4819
413,4818
414,4816
415,4816
416,4812
417,4815
418,4814
419,4808
420,4810
421,4806
422,4806
423,4804
424,4803
425,4799
426,4800
427,4801
428,4796
429,4793
430,4792
431,4790
432,4788
433,4787
434,4786
435,4787
436,4782
437,4778
438,4781
439,4775
440,4773
441,4772
442,4769
443,4772
444,4761
445,4761
446,4762
447,4758
448,4755
449,4753
450,4751
451,4749
452,4751
453,4741
454,4740
455,4742
456,4735
457,4734
458,4731
459,4728
460,4724
461,4722
462,4722
463,4714
464,4714
465,4711
466,4709
467,4706
468,4703
469,4704
470,4695
471,4692
472,4690
473,4688
474,4684
475,4681
476,4678
477,4673
478,4671
479,4672
480,4665
481,4659
482,4658
483,4654
484,4650
485,4648
486,4644
487,4642
488,4640
489,4632
490,4629
491,4628
492,4621
493,4617
494,4614
495,4610
496,4605
497,4604
498,4600
499,4592
500,4590
501,4585
502,4582
503,4577
504,4573
505,4573
506,4565
507,4559
508,4559
509,4553
510,4549
511,4544
512,4539
513,4533
514,4535
515,4527
516,4521
517,4517
518,4512
519,4508
520,4503
521,4497
522,4495
523,4493
524,4485
525,4481
526,4475
527,4470
528,4466
529,4460
530,4460
531,4455
532,4445
533,4443
534,4436
535,4431
536,4427
537,4422
538,4416
539,4415
540,4405
541,4401
542,4399
543,4388
544,4385
545,4380
546,4374
547,4369
548,4364
549,4357
550,4353
551,4347
552,4341
553,4335
554,4329
555,4324
556,4318
557,4314
558,4309
559,4301
560,4294
561,4289
562,4284
563,4278
564,4272
565,4264
566,4260
567,4258
568,4250
569,4243
570,4236
571,4231
572,4225
573,4217
574,4214
575,4209
576,4199
577,4194
578,4189
