idx,val24
1,61326
2,47284
3,73322
4,40275
5,76034
6,37837
7,68438
8,41769
9,66071
10,66071
11,56498
12,50714
13,69196
14,43318
15,76659
16,33126
17,69999
18,69999
19,40354
20,67626
21,49838
22,56728
23,64110
24,36204
25,71544
26,71544
27,38668
28,77303
29,42365
30,70223
31,47966
32,58497
33,58348
34,58348
35,43279
36,72526
37,35495
38,83078
39,32742
40,69677
41,55903
42,42627
43,42627
44,95383
45,46108
46,63926
47,56984
48,58058
49,58961
50,59452
51,59452
52,61369
53,52573
54,62750
55,54779
56,59140
57,58678
58,62549
59,62549
60,64366
61,56962
62,66014
63,58969
64,58301
65,63980
66,56733
67,56733
68,62706
69,56742
70,53317
71,58970
72,55023
73,58187
74,58535
75,58535
76,64312
77,61371
78,55322
79,60862
80,57645
81,60717
82,59172
83,60364
84,60364
85,69333
86,62493
87,56519
88,62523
89,62125
90,60022
91,62904
92,62904
93,58828
94,65955
95,64940
96,58340
97,65082
98,60442
99,61364
100,61364
101,60694
102,59415
103,68660
104,60926
105,60080
106,62218
107,59289
108,59289
109,65945
110,61575
111,66418
112,67067
113,60291
114,63342
115,57160
116,59999
117,59999
118,66747
119,60291
120,59629
121,66933
122,59816
123,58099
124,66966
125,66966
126,61679
127,63876
128,62383
129,62366
130,68948
131,57944
132,63568
133,63568
134,66488
135,56988
136,62999
137,62097
138,59523
139,61839
140,58219
141,58219
142,58931
143,57743
144,60476
145,61495
146,59073
147,59741
148,54278
149,54278
150,57823
151,52365
152,59808
153,62352
154,60049
155,67213
156,54277
157,60349
158,60349
159,55332
160,60535
161,66414
162,55686
163,68605
164,58862
165,53675
166,53675
167,59511
168,57999
169,60862
170,57681
171,59305
172,57336
173,57045
174,57045
175,61349
176,55764
177,56764
178,62662
179,60602
180,60581
181,63873
182,63873
183,58412
184,57425
185,61010
186,59160
187,61138
188,57515
189,62880
190,62880
191,62647
192,49908
193,60275
194,62667
195,56922
196,58667
197,60509
198,66533
199,66533
200,58066
201,58667
202,62306
203,56867
204,59010
205,55039
206,65495
207,65495
208,63866
209,52698
210,61084
211,57593
212,55025
213,59442
214,59675
215,59675
216,59497
217,55714
218,56372
219,62878
220,59248
221,60514
222,62588
223,62588
224,63674
225,65506
226,54410
227,61210
228,64348
229,60962
230,64241
231,57743
232,57743
233,62371
234,58863
235,53200
236,63331
237,57731
238,54177
239,59304
240,59304
241,56940
242,60698
243,57792
244,58989
245,60107
246,60196
247,66183
248,66183
249,61571
250,64939
251,59895
252,56622
253,64915
254,62248
255,62822
256,62822
257,62758
258,57049
259,64122
260,63705
261,61189
262,69523
263,62436
264,62436
265,62353
266,60806
267,62069
268,71055
269,58212
270,59143
271,65427
272,57275
273,57275
274,58746
275,62023
276,63392
277,62140
278,62235
279,67374
280,61653
281,61653
282,62868
283,69662
284,66522
285,69662
286,66691
287,66422
288,64707
289,64707
290,60875
291,63954
292,62514
293,68033
294,65119
295,64346
296,69880
297,69880
298,68246
299,63527
300,68261
301,66215
302,63259
303,73598
304,63763
305,63763
306,64026
307,68766
308,65658
309,65397
310,61201
311,73988
312,72857
313,59169
314,59169
315,66460
316,67071
317,65773
318,66953
319,68802
320,71447
321,62598
322,62598
323,65051
324,64412
325,63739
326,64912
327,62559
328,74304
329,71155
330,71155
331,65447
332,66029
333,65903
334,66108
335,62498
336,66896
337,74957
338,74957
339,69894
340,59374
341,62336
342,66029
343,67860
344,67739
345,71206
346,71206
347,69077
348,67593
349,67737
350,61377
351,68630
352,69110
353,67555
354,72758
355,72758
356,68678
357,70951
358,75244
359,65573
360,66782
361,75896
362,73049
363,73049
364,73896
365,70997
366,68547
367,76693
368,68928
369,67808
370,78484
371,78484
372,72765
373,68136
374,71483
375,68530
376,71038
377,70696
378,64601
379,64601
380,71462
381,69692
382,64099
383,66576
384,73107
385,70939
386,62991
387,65898
388,65898
389,66280
390,65403
391,65168
392,61355
393,66565
394,68743
395,62581
396,62581
397,65067
398,63542
399,63195
400,63153
401,61502
402,64573
403,59455
404,59455
405,57923
406,65700
407,62773
408,54279
409,62046
410,66282
411,63705
412,63705
413,62043
414,62468
415,65824
416,64313
417,62772
418,63459
419,69436
420,69436
421,65931
422,58986
423,62420
424,64211
425,62126
426,62138
427,65295
428,68583
429,68583
430,66910
431,63349
432,64969
433,67054
434,63335
435,63733
436,62614
437,62614
438,61696
439,73862
440,65117
441,57838
442,71501
443,66907
444,66330
445,66330
446,72567
447,69946
448,70930
449,67694
450,68500
451,68829
452,66665
453,66665
454,68075
455,72793
456,77660
457,69482
458,66298
459,70158
460,71915
461,71915
462,70683
463,73330
464,77355
465,76914
466,75976
467,72941
468,77318
469,76333
470,76333
471,70996
472,79225
473,74393
474,70918
475,79141
476,69960
477,69833
478,69833
479,74610
480,73445
481,76303
482,73458
483,79584
484,83092
485,73123
486,73123
487,74777
488,77330
489,75645
490,75580
491,72942
492,78829
493,76298
494,76298
495,61788
496,67915
497,73370
498,66052
499,67677
500,66143
501,66153
502,63389
503,63389
504,59059
505,66326
506,65665
507,63635
508,63558
509,63039
510,66188
511,66188
512,60136
513,61415
514,66273
515,62772
516,60494
517,60197
518,68279
519,68279
520,69221
521,59734
522,62506
523,65165
524,57924
525,65183
526,64152
527,64152
528,65583
529,71976
530,58863
